word,average
abadi,-0.28
abnormal,-0.375
absen,-0.25
absolut,0.25
absurd,0.315
acak-acakan,-0.31499999999999995
ada,-0.185
adib,0.315
adil,0.21
adoptif,0.25
aerob,0.25
aerobik,0.25
afdal,0.44
afiat,0.375
afirmatif,0.25
afrodisiak,0.315
agak-agak,-0.25
agam,-0.03
agresif,0.28
agung,0.19
ahli,0.355
ahmak,-0.375
air masin,-0.375
ajek,0.31
akademik,-0.315
akal,0.315
akhir,-0.315
akmal,0.25
akrab,0.25
aktif,0.065
aktual,0.03
akur,0.25
akurat,0.25
akut,-0.25
alah,-0.315
alap,0.375
alergi,-0.315
alim,0.345
alpa,0.0
amal,0.125
aman,-0.13999999999999999
amanah,0.315
amat,0.375
ambisi,0.185
ambisius,0.185
ambivalen,-0.315
ampang,0.19
ampuh,0.25
anak dara,-0.375
andal,0.25
aneh,-0.09
anggak,0.06
anggal,-0.06
anggaran,-0.25
anggun,0.12499999999999999
angin sepoi-sepoi,0.19
angka ganjil,0.06
angkara,0.0
angkuh,0.04999999999999999
anonim,-0.25
antagonistis,0.185
antiseptik,0.09000000000000002
apas,0.25
apik,0.44
arif,0.32
arifin,0.315
aristokrat,0.065
artik,-0.375
asal,-0.14
asam,-0.25
asas,0.25
asasi,0.25
aseptik,0.315
asi,0.06
asian,0.405
asid,-0.315
asih,0.375
asing,-0.2
asli,-0.255
asri,0.375
aswad,-0.25
asyik,0.25
atasan,0.335
atraktif,0.44
autentik,0.315
awang-gemawang,0.25
awas,0.315
awet,-0.315
ayam kampung,-0.375
ayu,0.375
azab,-0.345
babil,-0.315
bacul,-0.25
bagus,0.37
bahagia,0.16500000000000004
bahaya,-0.375
baik,0.39
baik hati,0.225
bakal,-0.375
bakh,0.44
bakhil,-0.095
baki,-0.185
balik adab,0.19
bambung,-0.375
banci,0.25
bandel,-0.315
bandingan,-0.125
bangang,-0.375
bangga,0.375
bangkrut,0.125
bangpak,-0.27999999999999997
bangsai,-0.375
bangsat,-0.44
bangun,-0.185
bantat,0.315
banyak,0.15500000000000003
baran,-0.375
baru,0.015000000000000013
basah kuyup,-0.44
basi,-0.125
batal,-0.315
batil,-0.44
bawah,-0.25
bawahan,-0.375
bayan,0.25
bebal,-0.035
bebas,-0.15499999999999997
becus,0.375
bedebah,-0.25
bedegong,-0.315
bego,-0.375
bejat,-0.345
beku,-0.315
belaka,-0.44
beloh,-0.375
belok,-0.19
belongkotan,-0.375
belot,0.0
benak,-0.185
benar,0.265
benar-benar,0.04999999999999999
bengah,-0.375
bengal,-0.315
bengis,-0.10999999999999999
bengkak,-0.375
bengkeng,-0.275
bengkok,-0.19
bengkong,-0.19
bengok,-0.31499999999999995
benguk,-0.34
benyai,-0.25
benyek,-0.25
beracun,-0.25
berada,0.375
beradab,0.34
berahi,0.315
beraja,0.25
